,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,"Get the tissues ready! 😭

#BillyElliot follows a boy growing up in a mining community who opts for ballet rather th… https://t.co/4XoJd17Km2",Sun May 31 19:01:00 +0000 2020,0.1007,0.157,0.734,0.108,1
1,BBC,"#DragonsDen: Best Ever Pitches takes a look at some of the best - and oddest - pitches ever seen in the Den! 🔥

Ton… https://t.co/2RlYzTVbQI",Sun May 31 18:01:00 +0000 2020,0.807,0.263,0.665,0.073,2
2,BBC,"I finally have something new to tell my mates about...

#QI is streaming now on @BBCiPlayer.
https://t.co/zFWBg9mKsc",Sun May 31 15:01:00 +0000 2020,0.0,0.0,1.0,0.0,3
3,BBC,"""Just because I can't see, doesn't mean I can't succeed.""

Sirine lost her sight at the age of 10.

Now, five years… https://t.co/tbcrw08vlZ",Sun May 31 13:01:00 +0000 2020,-0.1695,0.077,0.821,0.103,4
4,BBC,"Good to see your mum's taking lockdown well! 👍

#ComediansHomeAlone @KerryAGodliman
https://t.co/kiiqt10DPa",Sun May 31 11:01:00 +0000 2020,0.6476,0.325,0.675,0.0,5
5,BBC,"It may be hot and sunny outside, but it's always a good time to watch Disney's #Frozen... ❄️

6:40pm | @BBCOne &amp;… https://t.co/QBxPgZRkDZ",Sat May 30 16:01:00 +0000 2020,0.6956,0.215,0.785,0.0,6
6,BBC,"Comic masterpiece #SomeLikeItHot, starring Marilyn Monroe, is on @BBCTwo &amp; @BBCiPlayer at 3:40pm! 🎬

👉… https://t.co/9l7gZG2MRR",Sat May 30 14:01:00 +0000 2020,0.6588,0.188,0.812,0.0,7
7,BBC,"A comedy about a girl called Catherine Walcott. And another girl called Catherine Walcott...

Sisters who had no id… https://t.co/qFqujQqoWp",Sat May 30 13:01:00 +0000 2020,0.0772,0.11,0.793,0.097,8
8,BBC,"Classic animation #ChickenRun is on @BBCOne at 1:40pm! 🐔🙌

👉 https://t.co/DXX7UFCnz9 https://t.co/KXT6io8icg",Sat May 30 11:01:00 +0000 2020,0.0,0.0,1.0,0.0,9
9,BBC,"'LongShots' by @BBC_Reel is the BBC's first online film festival. 🎬

Watch all seven films and vote for your favour… https://t.co/IEqNhYfk3s",Sat May 30 10:01:00 +0000 2020,0.4939,0.132,0.868,0.0,10
10,BBC,"RT @BBC6Music: Meet Amelie, DJ, aged 7.

🎧 Hear her All Queens Mix for @maryannehobbs on @BBCSounds. https://t.co/yDriNsbOJd",Sat May 30 08:47:56 +0000 2020,0.0,0.0,1.0,0.0,11
11,BBC,"Tonight #GrahamNorton is joined on his virtual sofa by..

✨@ladygaga!
✨@chrisevans!
✨Michelle Dockery!
✨@joshgad!
✨… https://t.co/mgEWfoXMD3",Fri May 29 19:01:00 +0000 2020,0.0,0.0,1.0,0.0,12
12,BBC,"This device could change the way we cook eggs forever... if we can just get it to work! 😂🥚🍳

#DragonsDen: Best Ever… https://t.co/7KYdU3hsKw",Fri May 29 18:01:00 +0000 2020,0.8122,0.229,0.718,0.052,13
13,BBC,"Do police facial composites actually help catch criminals?
https://t.co/nniUl1xaBZ",Fri May 29 16:01:00 +0000 2020,-0.25,0.201,0.522,0.276,14
14,BBC,"RT @HackerTDog: Not only is it #NationalBiscuitDay, but I’ve released a top notch meditation film to relax your mind holes. Have a watch of…",Fri May 29 13:50:55 +0000 2020,0.7227,0.216,0.784,0.0,15
15,BBC,"RT @BBC_Reel: What’s left after glory? 🏋🏆

Watch ‘The Champion of the World’ in #LongShots Film Festival. Available on BBC Reel now https:/…",Fri May 29 13:40:29 +0000 2020,0.891,0.315,0.685,0.0,16
16,BBC,"Someone not liking I've recommended to them = a personal attack. 

#LimmysHomemadeShow is streaming now on… https://t.co/jNekOdc2Tj",Fri May 29 12:01:00 +0000 2020,-0.714,0.0,0.668,0.332,17
