,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Conceição do Araguaia,-8.26,-49.26,27.0,78,64,1.5,BR,1590881558
1,Mataura,-46.19,168.86,9.77,58,46,0.97,NZ,1590881558
2,Kapaa,22.08,-159.32,27.78,69,40,6.7,US,1590881558
3,Pevek,69.7,170.31,5.16,69,12,7.86,RU,1590881559
4,Chokurdakh,70.63,147.92,6.84,60,100,1.98,RU,1590881559
5,Punta Arenas,-53.15,-70.92,6.0,87,90,4.1,CL,1590881559
6,Port Elizabeth,-33.92,25.57,10.0,100,0,1.0,ZA,1590881550
7,Qaanaaq,77.48,-69.36,-2.99,94,11,0.43,GL,1590881559
8,Tasiilaq,65.61,-37.64,5.0,80,98,6.7,GL,1590881559
9,Ushuaia,-54.8,-68.3,9.0,66,90,7.2,AR,1590881559
10,Toamasina,-18.17,49.38,22.72,85,38,2.03,MG,1590881559
11,Bengkulu,-3.8,102.27,24.58,87,74,1.84,ID,1590881559
12,Zeya,53.75,127.27,13.55,67,82,1.75,RU,1590881559
13,Mar del Plata,-38.0,-57.56,9.44,81,75,8.2,AR,1590881358
14,Dikson,73.51,80.55,-0.91,99,89,5.17,RU,1590881559
15,Talnakh,69.49,88.4,2.0,80,25,9.0,RU,1590881559
16,Ribeira Grande,38.52,-28.7,17.83,91,100,4.96,PT,1590881559
17,Hermanus,-34.42,19.23,12.78,91,0,2.24,ZA,1590881559
18,Aksarka,66.56,67.8,5.47,83,54,5.24,RU,1590881559
19,Crateús,-5.18,-40.68,22.03,92,100,1.29,BR,1590881452
20,Hamilton,39.18,-84.53,22.78,43,40,3.6,US,1590881490
21,Cape Town,-33.93,18.42,11.11,93,0,1.0,ZA,1590881529
22,Puerto Ayora,-0.74,-90.35,28.0,61,40,9.3,EC,1590881560
23,Rockford,42.27,-89.09,22.0,30,20,4.6,US,1590881560
24,Shingū,33.73,135.98,17.0,93,75,2.6,JP,1590881560
25,Norman Wells,65.28,-126.83,22.0,24,20,4.6,CA,1590881344
26,Rapid Valley,44.06,-103.15,19.0,68,90,6.7,US,1590881560
27,Russell,32.35,-85.2,31.0,45,1,4.1,US,1590881560
28,Busselton,-33.65,115.33,12.22,81,73,5.44,AU,1590881560
29,Midland,32.0,-102.08,32.0,23,1,4.6,US,1590881497
30,Gebre Guracha,9.8,38.4,14.18,59,72,0.31,ET,1590881560
31,North Bend,43.41,-124.22,13.0,93,90,2.58,US,1590881561
32,Tommot,58.96,126.29,9.84,45,43,2.42,RU,1590881562
33,Tiksi,71.69,128.87,3.38,77,94,2.57,RU,1590881562
34,Husavik,66.04,-17.34,10.0,57,40,9.8,IS,1590881563
35,Djambala,-2.54,14.75,21.31,91,91,0.42,CG,1590881563
36,Saint George,37.1,-113.58,38.0,12,1,11.8,US,1590881307
37,Port Alfred,-33.59,26.89,15.0,81,0,2.24,ZA,1590881563
38,Saint-Philippe,-21.36,55.77,20.0,64,6,2.1,RE,1590881563
39,Narsaq,60.92,-46.05,10.0,46,40,6.7,GL,1590881563
40,Nantucket,41.28,-70.1,16.0,87,1,4.1,US,1590881282
41,Saldanha,-33.01,17.94,12.0,81,0,1.0,ZA,1590881563
42,Shelabolikha,53.41,82.62,10.0,66,24,6.0,RU,1590881563
43,Arraial do Cabo,-22.97,-42.03,21.75,85,0,7.14,BR,1590881563
44,Coquimbo,-29.95,-71.34,13.0,100,40,4.1,CL,1590881344
45,Vao,-22.67,167.48,21.93,83,54,6.61,NC,1590881563
46,Tuktoyaktuk,69.45,-133.04,3.0,74,40,7.2,CA,1590881563
47,Albany,42.6,-73.97,17.22,68,40,0.89,US,1590881564
48,Khorinsk,52.17,109.77,9.24,49,0,1.33,RU,1590881564
49,Izumo,35.37,132.77,18.0,82,100,3.6,JP,1590881564
50,Chimbote,-9.09,-78.58,19.52,88,26,3.78,PE,1590881564
51,Ocampo,21.65,-101.5,16.77,55,56,4.87,MX,1590881564
