,Source Account,Text,Date,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,"Tonight chatting to #GrahamNorton...

✨ @katyperry!
✨@SteveCarell!
✨Dakota Johnson!
✨Alan Carr (@chattyman)!
✨Music… https://t.co/3oKYbSxZeE",Fri May 22 19:01:00 +0000 2020,0.5374,0.211,0.789,0.0,1
1,BBC,"Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX",Fri May 22 19:01:00 +0000 2020,0.126,0.152,0.718,0.131,2
2,BBC,"Here is @matthaig1's simple piece of advice for better #MentalHealth.

What's your simple tip?
https://t.co/toSiVTl3bX",Fri May 22 16:01:00 +0000 2020,0.4404,0.172,0.828,0.0,3
3,BBC,"RT @bbcouch: Ouch favourites @MarkOneinFour and @ms_molly_vog bare all in this mental health special of #OuchCabinFever

When the world wen…",Fri May 22 15:58:20 +0000 2020,0.4019,0.124,0.876,0.0,4
4,BBC,"RT @BBCR1: Here's how the #BigWeekend Headliner and Radio 1 stages are looking for Saturday 23rd and Sunday 24th May! 😍

Check out set-time…",Fri May 22 15:27:49 +0000 2020,0.5093,0.112,0.888,0.0,5
5,BBC,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,Fri May 22 14:04:03 +0000 2020,0.0,0.0,1.0,0.0,6
6,BBC,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make… https://t.co/zJD44nbNov",Fri May 22 14:01:00 +0000 2020,-0.3612,0.0,0.829,0.171,7
7,BBC,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…",Fri May 22 13:28:25 +0000 2020,-0.2263,0.0,0.921,0.079,8
8,BBC,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…",Fri May 22 12:51:33 +0000 2020,0.5473,0.15,0.85,0.0,9
9,BBC,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…",Fri May 22 12:25:44 +0000 2020,0.3612,0.111,0.889,0.0,10
10,BBC,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and eve… https://t.co/qIXRy0tUI7",Fri May 22 11:01:00 +0000 2020,0.2732,0.1,0.9,0.0,11
11,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Fri May 22 09:26:23 +0000 2020,0.4019,0.153,0.847,0.0,12
12,BBC,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,Fri May 22 09:17:44 +0000 2020,0.0,0.0,1.0,0.0,13
13,BBC,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,Fri May 22 09:11:53 +0000 2020,0.0,0.0,1.0,0.0,14
14,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Fri May 22 08:45:56 +0000 2020,0.4019,0.153,0.847,0.0,15
15,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk",Fri May 22 08:11:47 +0000 2020,0.4019,0.153,0.847,0.0,16
16,BBC,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.… https://t.co/aXLOTxZxgg",Fri May 22 08:01:00 +0000 2020,0.34,0.203,0.691,0.106,17
17,BBC,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety a… https://t.co/l5Fdpb6PuJ",Fri May 22 00:01:00 +0000 2020,0.3384,0.149,0.769,0.082,18
18,BBC,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx",Thu May 21 20:30:00 +0000 2020,0.765,0.268,0.732,0.0,19
19,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Thu May 21 19:02:17 +0000 2020,0.4019,0.153,0.847,0.0,20
20,BBC,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji,Thu May 21 19:01:00 +0000 2020,-0.1531,0.0,0.914,0.086,21
21,BBC,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol",Thu May 21 18:01:00 +0000 2020,0.3818,0.241,0.636,0.123,22
22,BBC,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC",Thu May 21 16:20:13 +0000 2020,0.0,0.0,1.0,0.0,23
23,BBC,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt",Thu May 21 16:01:00 +0000 2020,0.0,0.0,1.0,0.0,24
24,BBC,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…,Thu May 21 15:41:52 +0000 2020,0.5307,0.13,0.87,0.0,25
25,BBC,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,Thu May 21 14:07:13 +0000 2020,0.0,0.0,1.0,0.0,26
26,BBC,"Social media can be helpful and informative during lockdown - but it can also be overwhelming.

@naomishimada
 has… https://t.co/oCS7c3T4lp",Thu May 21 14:06:45 +0000 2020,0.2263,0.095,0.905,0.0,27
27,BBC,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",Thu May 21 12:29:13 +0000 2020,0.4019,0.153,0.847,0.0,28
28,BBC,Nadiya: Anxiety and Me is streaming now on @BBCiPlayer. https://t.co/cizeDDzBYx,Thu May 21 12:29:01 +0000 2020,-0.1779,0.0,0.841,0.159,29
29,BBC,"Nadiya Hussain explains how severe anxiety affects her life.
 
@BegumNadiya #MentalHealth
https://t.co/BTZnT3dEQY",Thu May 21 12:01:00 +0000 2020,-0.5106,0.0,0.699,0.301,30
30,BBC,RT @bbcpress: The BBC’s Director of Creative Diversity @JuneSarpong has committed to hardwire diversity and inclusion throughout the BBC -…,Thu May 21 11:14:48 +0000 2020,0.6124,0.217,0.783,0.0,31
31,BBC,"RT @BBCSport: 💪 Want to get fit and need some structure to help you? 🗓

📲 #Couchto5K is the app for you ➡ https://t.co/z3IGRWqgYv https://t…",Thu May 21 10:42:34 +0000 2020,0.6705,0.188,0.812,0.0,32
