,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Carnarvon,-24.87,113.63,25.0,14,0,5.7,AU,1590031586
1,Arraial do Cabo,-22.97,-42.03,22.5,74,30,8.16,BR,1590031586
2,Suoyarvi,62.08,32.35,1.9,86,100,6.55,RU,1590031586
3,Avarua,-21.21,-159.78,26.0,65,75,4.1,CK,1590031586
4,Rikitea,-23.12,-134.97,24.52,74,100,8.4,PF,1590031586
5,Khatanga,71.97,102.5,12.25,67,52,3.5,RU,1590031586
6,Syracuse,37.09,15.28,17.78,77,5,2.1,IT,1590031298
7,Manaus,-3.1,-60.02,26.0,94,0,1.0,BR,1590031422
8,Busselton,-33.65,115.33,18.33,44,0,2.04,AU,1590031586
9,Saint Paul Harbor,57.79,-152.41,12.0,54,90,5.7,US,1590031587
10,Vaitape,-16.52,-151.75,26.98,78,0,8.77,PF,1590031587
11,Butaritari,3.07,172.79,29.13,79,11,7.62,KI,1590031587
12,Mataura,-46.19,168.86,10.89,65,100,2.54,NZ,1590031587
13,Fortuna,40.6,-124.16,13.89,76,90,4.1,US,1590031587
14,Hermanus,-34.42,19.23,19.32,38,61,3.74,ZA,1590031587
15,Mahébourg,-20.41,57.7,21.0,88,75,5.7,MU,1590031587
16,Ushuaia,-54.8,-68.3,2.0,93,40,4.1,AR,1590031587
17,Ivolginsk,51.75,107.28,10.0,87,75,2.0,RU,1590031587
18,Province of Mantua,45.17,10.78,15.56,86,8,2.24,IT,1590031435
19,Chui,-33.7,-53.46,19.9,85,100,6.67,UY,1590031588
20,Castro,-24.79,-50.01,12.59,94,0,2.42,BR,1590031588
21,Kodinsk,58.69,99.18,20.38,30,0,3.67,RU,1590031589
22,Terracina,41.29,13.22,15.56,82,73,0.45,IT,1590031589
23,Hobart,-42.88,147.33,13.89,47,40,3.6,AU,1590031589
24,Chokurdakh,70.63,147.92,-2.1,97,16,2.07,RU,1590031589
25,Jamestown,42.1,-79.24,13.89,35,1,2.6,US,1590031413
26,Saint-Philippe,-21.36,55.77,22.0,64,90,4.6,RE,1590031589
27,Dalvik,65.97,-18.53,8.0,70,68,7.7,IS,1590031589
28,Cabo San Lucas,22.89,-109.91,23.33,60,5,1.5,MX,1590031388
29,Aklavik,68.22,-135.01,8.0,31,20,1.5,CA,1590031589
30,Muros,42.78,-9.06,12.78,86,95,0.45,ES,1590031589
31,Aragats,40.49,44.35,15.0,47,38,0.63,AM,1590031590
32,Bandarbeyla,9.49,50.81,29.25,64,24,10.09,SO,1590031590
33,Vaini,-21.2,-175.2,24.0,73,75,4.1,TO,1590031590
34,Longyearbyen,78.22,15.64,2.0,69,40,1.5,SJ,1590031590
35,New Norfolk,-42.78,147.06,13.89,59,1,1.79,AU,1590031591
36,Ilulissat,69.22,-51.1,2.0,69,0,1.0,GL,1590031591
37,Barrow,71.29,-156.79,-4.0,85,90,6.2,US,1590031591
38,Imeni Poliny Osipenko,52.42,136.49,9.51,78,100,5.88,RU,1590031591
39,Mar del Plata,-38.0,-57.56,13.0,93,90,7.7,AR,1590031592
40,Dalbandin,28.89,64.41,27.69,18,12,3.55,PK,1590031592
41,Nālūt,30.33,10.85,18.22,39,0,5.04,LY,1590031592
42,São Filipe,14.9,-24.5,22.23,81,17,2.27,CV,1590031592
43,Port Augusta,-32.5,137.77,14.0,54,89,6.7,AU,1590031592
44,Bambous Virieux,-20.34,57.76,21.67,88,75,5.7,MU,1590031593
45,Vanimo,-2.67,141.3,30.88,62,33,2.99,PG,1590031593
46,Geraldton,-28.77,114.6,22.0,26,0,6.7,AU,1590031593
47,Mehrān,33.12,46.16,19.0,37,0,3.1,IR,1590031593
48,Tiksi,71.69,128.87,0.24,95,100,4.54,RU,1590031593
49,Vallenar,-28.57,-70.76,9.67,77,100,0.75,CL,1590031593
50,Opuwo,-18.06,13.84,14.45,43,0,2.75,NA,1590031593
51,Airai,-8.93,125.41,21.35,85,84,1.25,TL,1590031593
52,Szedres,46.48,18.68,9.14,71,19,4.32,HU,1590031594
53,Manhuaçu,-20.26,-42.03,14.17,92,27,0.76,BR,1590031594
54,Kapaa,22.08,-159.32,26.0,74,40,6.7,US,1590031594
55,Havelock,34.88,-76.9,21.11,88,90,5.7,US,1590031525
56,Kruisfontein,-34.0,24.73,19.63,26,0,4.72,ZA,1590031594
57,Boulder,40.08,-105.35,21.0,11,1,6.7,US,1590031594
58,Hithadhoo,-0.6,73.08,29.14,73,1,3.92,MV,1590031594
59,Mount Isa,-20.73,139.5,20.0,49,100,4.1,AU,1590031594
60,East London,-33.02,27.91,19.44,36,10,3.88,ZA,1590031594
61,Saskylakh,71.92,114.08,2.98,80,81,1.47,RU,1590031594
62,Yumen,40.28,97.2,24.24,19,63,4.11,CN,1590031594
63,Alice Springs,-23.7,133.88,17.0,36,91,5.7,AU,1590031595
64,Tuatapere,-46.13,167.68,14.38,67,80,3.02,NZ,1590031595
65,Berdigestyakh,62.1,126.7,18.68,27,16,2.49,RU,1590031595
66,Reconquista,-29.15,-59.65,21.04,87,98,4.66,AR,1590031455
67,Douglas,41.3,-96.17,16.67,87,90,6.2,US,1590031496
68,Shimoda,34.67,138.95,14.0,87,75,7.2,JP,1590031596
69,Leshukonskoye,64.9,45.76,2.61,94,100,4.6,RU,1590031596
70,Udachny,66.42,112.4,13.0,37,100,3.0,RU,1590031596
71,San Juan,-31.54,-68.54,9.1,65,18,5.84,AR,1590031596
72,Atuona,-9.8,-139.03,27.17,77,8,7.44,PF,1590031596
73,Neuquén,-38.95,-68.06,6.0,87,0,1.0,AR,1590031342
74,Luebo,-5.35,21.42,20.32,77,0,0.7,CD,1590031596
75,Nānākuli,21.39,-158.15,28.0,54,20,5.7,US,1590031596
76,Jiexiu,37.02,111.91,27.85,30,58,5.01,CN,1590031596
77,Cherskiy,68.75,161.3,8.55,50,0,4.4,RU,1590031596
78,Zhangjiakou,40.81,114.88,20.73,47,92,3.77,CN,1590031596
79,Hilo,19.73,-155.09,27.0,69,90,4.6,US,1590031596
80,Ponta do Sol,32.67,-17.1,17.0,72,20,3.1,PT,1590031597
81,Torbay,47.67,-52.73,5.0,83,75,6.2,CA,1590031597
82,Albany,42.6,-73.97,15.0,41,23,0.45,US,1590031597
83,College,64.86,-147.8,19.44,24,75,3.1,US,1590031597
84,Qui Nhon,13.77,109.23,32.72,58,99,2.97,VN,1590031597
85,Pangnirtung,66.15,-65.71,-4.5,93,100,2.44,CA,1590031597
86,Husavik,66.04,-17.34,8.0,70,100,7.7,IS,1590031597
87,George Town,5.41,100.34,32.0,70,20,2.1,MY,1590031597
88,Nome,64.5,-165.41,6.11,87,90,5.7,US,1590031583
89,Leander,30.58,-97.85,28.0,78,1,4.6,US,1590031597
90,Punta Arenas,-53.15,-70.92,3.0,93,95,5.1,CL,1590031562
91,Pacocha,-17.58,-71.33,16.91,81,27,1.7,PE,1590031597
92,Chu,43.6,73.76,20.56,38,49,3.58,KZ,1590031597
93,Kondinskoye,59.65,67.41,15.62,63,55,5.41,RU,1590031598
94,Bluff,-46.6,168.33,14.74,65,67,8.43,NZ,1590031598
95,Lukovetskiy,64.3,41.92,3.0,74,90,4.0,RU,1590031598
96,Nikolskoye,59.7,30.79,3.0,86,90,7.0,RU,1590031598
97,Talnakh,69.49,88.4,17.0,51,36,7.0,RU,1590031598
98,Houston,29.76,-95.36,27.22,78,20,4.6,US,1590031291
99,Manta,-0.95,-80.73,24.0,83,75,3.6,EC,1590031598
100,Kavaratti,10.57,72.64,30.0,79,40,2.1,IN,1590031598
101,Rāmachandrapuram,16.85,82.02,35.48,49,66,2.88,IN,1590031598
102,Champerico,14.3,-91.92,29.65,67,36,0.78,GT,1590031598
103,Nago,26.59,127.98,19.0,93,90,4.6,JP,1590031598
104,Dera Bugti,29.03,69.15,34.66,11,0,3.6,PK,1590031598
105,San Ramon,37.78,-121.98,18.89,63,1,5.1,US,1590031351
106,Cape Town,-33.93,18.42,18.89,51,20,2.6,ZA,1590031385
107,Yangi Marg`ilon,40.43,71.72,23.0,27,0,1.0,UZ,1590031598
108,Port Blair,11.67,92.75,29.84,78,70,6.4,IN,1590031599
109,‘Āhuimanu,21.44,-157.84,28.0,61,40,7.2,US,1590031398
110,Kamina,-8.74,24.99,16.47,74,0,1.45,CD,1590031599
111,Baljevac,44.82,15.78,8.06,87,52,2.8,BA,1590031599
112,Port Elizabeth,-33.92,25.57,12.0,66,0,1.5,ZA,1590031599
113,Yellowknife,62.46,-114.35,6.0,35,20,5.7,CA,1590031387
114,Vardø,70.37,31.11,3.03,78,51,6.69,NO,1590031599
115,Bend,44.06,-121.32,11.0,53,20,2.6,US,1590031368
116,Luganville,-15.53,167.17,28.0,54,40,4.1,VU,1590031599
117,Matagami,49.75,-77.63,6.0,70,1,2.6,CA,1590031599
118,Sinazongwe,-17.26,27.46,15.86,56,69,1.39,ZM,1590031599
119,Warah,27.45,67.8,38.87,8,55,0.63,PK,1590031599
120,Makakilo City,21.35,-158.09,28.0,54,20,5.7,US,1590031599
121,Santa Cruz,30.42,-9.6,17.0,88,40,2.05,MA,1590031600
122,Neryungri,56.67,124.65,12.04,49,100,0.55,RU,1590031600
123,Qasigiannguit,68.82,-51.19,2.0,69,0,1.0,GL,1590031600
124,Puerto Ayora,-0.74,-90.35,22.78,92,2,3.49,EC,1590031600
125,Vrangel',42.73,133.08,8.09,75,100,5.39,RU,1590031600
126,San Quintín,30.48,-115.95,17.43,76,0,7.25,MX,1590031600
127,Tuktoyaktuk,69.45,-133.04,-0.41,97,0,2.32,CA,1590031600
128,Banda Aceh,5.56,95.32,29.74,69,100,4.55,ID,1590031503
129,Svit,49.06,20.21,6.0,87,20,5.1,SK,1590031600
130,Lorengau,-2.02,147.27,29.06,76,47,3.22,PG,1590031600
131,Vieux-Habitants,16.06,-61.77,26.0,83,75,1.0,GP,1590031600
132,Umm Kaddadah,13.6,26.69,29.04,46,69,4.67,SD,1590031505
133,Atambua,-9.11,124.89,27.52,71,51,0.69,ID,1590031600
134,Kantang,7.41,99.52,32.0,70,20,3.1,TH,1590031601
135,Invermere,50.52,-116.04,11.11,91,100,1.62,CA,1590031601
136,Arrah,25.57,84.67,26.78,63,100,2.03,IN,1590031569
137,Port Lincoln,-34.73,135.87,13.5,59,98,5.42,AU,1590031601
138,Iracoubo,5.48,-53.2,26.01,91,100,4.01,GF,1590031601
139,Provideniya,64.38,-173.3,3.0,69,0,9.0,RU,1590031601
140,Karatau,43.17,70.47,16.84,48,64,1.29,KZ,1590031601
141,Mount Gambier,-37.83,140.77,12.0,58,90,7.7,AU,1590031601
142,Vila Velha,-20.33,-40.29,21.11,94,40,1.5,BR,1590031582
